# market, Count, MinOfyear, MaxOfyear
"Heavy Metal",610,"1968","2008"
"Hi-NRG",63,"1976","2005"
"Hong Kong Pop",1,"2000","2000"
"Hot Rod",8,"1960","1996"
"Hot Rod Revival",4,"1991","1999"
"House",318,"1986","2005"
"Indie Electronic",179,"1977","2006"
"Indie Pop",176,"1980","2008"
"Indie Rock",104,"1986","2003"
"Industrial",193,"1977","2008"
"Industrial Dance",22,"1986","2004"
"Industrial Metal",43,"1988","2001"
"Instrumental Rock",63,"1958","2006"
"Jam Bands",35,"1988","2000"
"Jangle Pop",37,"1980","2008"
"Japanese Pop",2,"1997","1999"
"Japanese Rock",4,"1996","2000"
"Kraut Rock",47,"1969","2008"
"L.A. Punk",23,"1978","2001"
"Latin Dance",3,"1998","2004"
"Lo-Fi",34,"1987","1999"
"Madchester",17,"1988","1998"
"Math Rock",22,"1989","2006"
"Merseybeat",26,"1963","2004"
"Mod",14,"1966","2001"
"Mod Revival",19,"1977","2001"
"Neo-Classical Metal",12,"1980","2000"
"Neo-Glam",12,"1993","2001"
"Neo-Prog",28,"1983","2000"
"Neo-Psychedelia",55,"1983","2005"
"New Romantic",35,"1979","2003"
"New Wave",277,"1970","2008"
"New Wave of British Heavy Metal",54,"1976","2007"
"New Wave/Post-Punk Revival",60,"1993","2007"
"New York Punk",36,"1973","2006"
"New Zealand Rock",17,"1986","1997"
"No Wave",7,"1979","2004"
"Noise Pop",50,"1985","2007"
"Noise-Rock",33,"1986","2001"
"Obscuro",25,"1960","2005"
"Oi!",8,"1993","2002"
"Paisley Underground",24,"1982","2008"
"Pop",99,"1956","2006"
"Pop Underground",23,"1986","2000"
"Pop/Rock",438,"1956","2008"
"Pop-Metal",89,"1978","2006"
"Post-Grunge",76,"1992","2001"
"Post-Hardcore",20,"1985","1999"
"Post-Punk",141,"1977","2006"
"Post-Rock/Experimental",75,"1988","2006"
"Power Metal",42,"1990","2007"
"Power Pop",82,"1970","2008"
"Progressive Metal",96,"1986","2008"
"Prog-Rock/Art Rock",347,"1967","2007"
"Proto-Punk",78,"1966","2004"
"Psychedelic",156,"1966","2007"
"Psychedelic Pop",43,"1966","2007"
"Psychobilly",19,"1980","2001"
"Pub Rock",55,"1972","2007"
"Punk",122,"1975","2007"
"Punk Blues",37,"1983","2005"
"Punk Metal",28,"1981","1997"
"Punk Revival",62,"1984","2007"
"Punk-Pop",60,"1982","2004"
"Queercore",9,"1992","1999"
"Rap-Metal",39,"1987","2005"
"Rap-Rock",21,"1990","2005"
"Rave",9,"1990","1998"
"Retro-Rock",10,"1988","2001"
"Riot Grrrl",14,"1990","2000"
"Rock &amp; Roll",356,"1951","2008"
"Rock en Espa+â¦Æ+é-¦ol",4,"1996","1999"
"Rockabilly",114,"1956","2006"
"Rockabilly Revival",26,"1980","2007"
"Roots Rock",96,"1969","2002"
"Sadcore",33,"1987","2008"
"Scandinavian Metal",105,"1984","2008"
"Screamo",6,"1999","2004"
"Shibuya-Kei",34,"1991","2001"
"Shoegaze",54,"1987","2005"
"Singer/Songwriter",99,"1965","2006"
"Ska Revival",25,"1979","2002"
"Ska-Punk",29,"1988","2000"
"Skatepunk",15,"1981","1999"
